French,English
partie,part
histoire,history
chercher,search
pensais,thought
aide,help
genre,kind
mois,month
frère,brother
laisser,let
car,because
mettre,to put
laisse,leash
eux,them
chaque,each
arrivé,come
devrait,should
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
place,square
savais,knew
voici,here is
pourrais,could
affaire,case
leurs,their
donné,given
train,train
corps,body
endroit,place
façon,way
écoute,listen
dont,whose
main,hand
première,first
pouvoir,power
vieux,old
sois,be
tellement,so much
point,point
suite,after
vers,towards
mis,placed
droit,law
aimerais,would like to
aujourd'hui,today
enfin,finally
eau,water
parti,left
compte,account
donne,given
loin,far
gros,large
jouer,to play
bureau,office
